25.6 fps, rendering interval: 39.1ms
49.5 fps, rendering interval: 20.2ms
33.3 fps, rendering interval: 30.0ms
45.2 fps, rendering interval: 22.1ms
98.7 fps, rendering interval: 10.1ms
43.0 fps, rendering interval: 23.3ms
60.5 fps, rendering interval: 16.5ms
72.6 fps, rendering interval: 13.8ms
127.3 fps, rendering interval: 7.9ms
39.3 fps, rendering interval: 25.4ms
14.9 fps, rendering interval: 67.1ms
82.8 fps, rendering interval: 12.1ms
59.9 fps, rendering interval: 16.7ms
73.0 fps, rendering interval: 13.7ms
19.7 fps, rendering interval: 50.7ms
51.4 fps, rendering interval: 19.4ms
62.4 fps, rendering interval: 16.0ms
20.9 fps, rendering interval: 47.8ms
43.1 fps, rendering interval: 23.2ms
75.9 fps, rendering interval: 13.2ms
24.0 fps, rendering interval: 41.6ms
12.8 fps, rendering interval: 78.2ms
36.4 fps, rendering interval: 27.5ms
52.3 fps, rendering interval: 19.1ms
12.9 fps, rendering interval: 77.2ms
60.8 fps, rendering interval: 16.4ms
59.8 fps, rendering interval: 16.7ms
37.8 fps, rendering interval: 26.4ms
32.6 fps, rendering interval: 30.7ms
72.5 fps, rendering interval: 13.8ms
17.7 fps, rendering interval: 56.4ms
66.5 fps, rendering interval: 15.0ms
25.7 fps, rendering interval: 38.9ms
37.1 fps, rendering interval: 27.0ms
76.0 fps, rendering interval: 13.2ms
33.0 fps, rendering interval: 30.3ms
28.0 fps, rendering interval: 35.7ms
50.6 fps, rendering interval: 19.7ms
31.3 fps, rendering interval: 31.9ms
26.2 fps, rendering interval: 38.2ms
70.8 fps, rendering interval: 14.1ms
36.0 fps, rendering interval: 27.8ms
31.8 fps, rendering interval: 31.4ms
13.8 fps, rendering interval: 72.7ms
56.3 fps, rendering interval: 17.8ms
41.1 fps, rendering interval: 24.3ms
61.6 fps, rendering interval: 16.2ms
29.8 fps, rendering interval: 33.6ms
39.9 fps, rendering interval: 25.0ms
65.8 fps, rendering interval: 15.2ms
24.5 fps, rendering interval: 40.8ms
47.1 fps, rendering interval: 21.3ms
35.3 fps, rendering interval: 28.3ms
70.9 fps, rendering interval: 14.1ms
23.6 fps, rendering interval: 42.5ms
64.7 fps, rendering interval: 15.5ms
21.6 fps, rendering interval: 46.3ms
31.5 fps, rendering interval: 31.8ms
77.0 fps, rendering interval: 13.0ms
41.9 fps, rendering interval: 23.8ms
12.9 fps, rendering interval: 77.3ms
62.0 fps, rendering interval: 16.1ms
52.8 fps, rendering interval: 18.9ms
23.0 fps, rendering interval: 43.6ms
36.0 fps, rendering interval: 27.8ms
72.9 fps, rendering interval: 13.7ms
27.2 fps, rendering interval: 36.7ms
16.6 fps, rendering interval: 60.3ms
65.9 fps, rendering interval: 15.2ms
43.9 fps, rendering interval: 22.8ms
28.8 fps, rendering interval: 34.7ms
43.6 fps, rendering interval: 22.9ms
78.2 fps, rendering interval: 12.8ms
