23.9 fps, rendering interval: 41.8ms
128.4 fps, rendering interval: 7.8ms
386.5 fps, rendering interval: 2.6ms
438.0 fps, rendering interval: 2.3ms
229.8 fps, rendering interval: 4.4ms
113.6 fps, rendering interval: 8.8ms
45.8 fps, rendering interval: 21.8ms
59.2 fps, rendering interval: 16.9ms
55.0 fps, rendering interval: 18.2ms
82.4 fps, rendering interval: 12.1ms
57.3 fps, rendering interval: 17.4ms
67.9 fps, rendering interval: 14.7ms
48.9 fps, rendering interval: 20.4ms
66.6 fps, rendering interval: 15.0ms
58.9 fps, rendering interval: 17.0ms
41.4 fps, rendering interval: 24.2ms
71.9 fps, rendering interval: 13.9ms
101.3 fps, rendering interval: 9.9ms
38.5 fps, rendering interval: 26.0ms
72.9 fps, rendering interval: 13.7ms
28.9 fps, rendering interval: 34.6ms
90.9 fps, rendering interval: 11.0ms
68.6 fps, rendering interval: 14.6ms
25.8 fps, rendering interval: 38.7ms
107.1 fps, rendering interval: 9.3ms
59.0 fps, rendering interval: 17.0ms
47.9 fps, rendering interval: 20.9ms
42.4 fps, rendering interval: 23.6ms
74.8 fps, rendering interval: 13.4ms
52.8 fps, rendering interval: 18.9ms
56.1 fps, rendering interval: 17.8ms
69.2 fps, rendering interval: 14.4ms
51.9 fps, rendering interval: 19.3ms
