30.3 fps, rendering interval: 33.0ms
160.9 fps, rendering interval: 6.2ms
154.2 fps, rendering interval: 6.5ms
194.9 fps, rendering interval: 5.1ms
210.2 fps, rendering interval: 4.8ms
181.0 fps, rendering interval: 5.5ms
173.9 fps, rendering interval: 5.8ms
162.1 fps, rendering interval: 6.2ms
150.9 fps, rendering interval: 6.6ms
118.1 fps, rendering interval: 8.5ms
125.2 fps, rendering interval: 8.0ms
67.3 fps, rendering interval: 14.9ms
80.0 fps, rendering interval: 12.5ms
147.1 fps, rendering interval: 6.8ms
94.5 fps, rendering interval: 10.6ms
29.4 fps, rendering interval: 34.0ms
20.4 fps, rendering interval: 49.0ms
26.0 fps, rendering interval: 38.5ms
45.4 fps, rendering interval: 22.0ms
30.8 fps, rendering interval: 32.5ms
38.1 fps, rendering interval: 26.3ms
38.6 fps, rendering interval: 25.9ms
31.7 fps, rendering interval: 31.5ms
42.9 fps, rendering interval: 23.3ms
24.6 fps, rendering interval: 40.6ms
45.6 fps, rendering interval: 21.9ms
28.6 fps, rendering interval: 35.0ms
91.7 fps, rendering interval: 10.9ms
144.7 fps, rendering interval: 6.9ms
50.4 fps, rendering interval: 19.8ms
24.8 fps, rendering interval: 40.4ms
18.2 fps, rendering interval: 54.9ms
96.1 fps, rendering interval: 10.4ms
171.8 fps, rendering interval: 5.8ms
72.0 fps, rendering interval: 13.9ms
27.9 fps, rendering interval: 35.8ms
27.1 fps, rendering interval: 37.0ms
32.0 fps, rendering interval: 31.3ms
25.8 fps, rendering interval: 38.7ms
34.7 fps, rendering interval: 28.8ms
24.8 fps, rendering interval: 40.4ms
145.3 fps, rendering interval: 6.9ms
97.8 fps, rendering interval: 10.2ms
30.9 fps, rendering interval: 32.4ms
37.9 fps, rendering interval: 26.4ms
22.8 fps, rendering interval: 43.8ms
173.9 fps, rendering interval: 5.8ms
121.6 fps, rendering interval: 8.2ms
27.6 fps, rendering interval: 36.3ms
