24.7 fps, rendering interval: 40.5ms
132.6 fps, rendering interval: 7.5ms
407.9 fps, rendering interval: 2.5ms
489.3 fps, rendering interval: 2.0ms
398.3 fps, rendering interval: 2.5ms
202.7 fps, rendering interval: 4.9ms
92.7 fps, rendering interval: 10.8ms
32.4 fps, rendering interval: 30.8ms
90.0 fps, rendering interval: 11.1ms
40.4 fps, rendering interval: 24.8ms
72.7 fps, rendering interval: 13.8ms
35.2 fps, rendering interval: 28.4ms
58.2 fps, rendering interval: 17.2ms
203.1 fps, rendering interval: 4.9ms
54.2 fps, rendering interval: 18.4ms
14.9 fps, rendering interval: 67.0ms
265.5 fps, rendering interval: 3.8ms
104.2 fps, rendering interval: 9.6ms
54.2 fps, rendering interval: 18.4ms
46.9 fps, rendering interval: 21.3ms
53.0 fps, rendering interval: 18.9ms
65.9 fps, rendering interval: 15.2ms
391.4 fps, rendering interval: 2.6ms
178.1 fps, rendering interval: 5.6ms
10.8 fps, rendering interval: 92.9ms
12.0 fps, rendering interval: 83.1ms
11.9 fps, rendering interval: 84.0ms
12.6 fps, rendering interval: 79.3ms
12.4 fps, rendering interval: 80.6ms
12.8 fps, rendering interval: 77.9ms
12.7 fps, rendering interval: 78.7ms
13.8 fps, rendering interval: 72.7ms
14.5 fps, rendering interval: 69.2ms
22.9 fps, rendering interval: 43.6ms
12.8 fps, rendering interval: 78.0ms
18.6 fps, rendering interval: 53.8ms
14.2 fps, rendering interval: 70.3ms
18.8 fps, rendering interval: 53.3ms
12.9 fps, rendering interval: 77.8ms
19.4 fps, rendering interval: 51.5ms
15.3 fps, rendering interval: 65.2ms
22.2 fps, rendering interval: 45.1ms
16.3 fps, rendering interval: 61.3ms
17.9 fps, rendering interval: 55.9ms
15.5 fps, rendering interval: 64.5ms
21.8 fps, rendering interval: 45.8ms
12.5 fps, rendering interval: 80.3ms
13.0 fps, rendering interval: 77.1ms
12.8 fps, rendering interval: 78.3ms
17.8 fps, rendering interval: 56.1ms
12.6 fps, rendering interval: 79.2ms
13.4 fps, rendering interval: 74.6ms
12.7 fps, rendering interval: 78.5ms
14.8 fps, rendering interval: 67.7ms
12.5 fps, rendering interval: 79.7ms
12.4 fps, rendering interval: 80.6ms
12.5 fps, rendering interval: 79.7ms
11.8 fps, rendering interval: 84.9ms
12.7 fps, rendering interval: 78.6ms
12.2 fps, rendering interval: 82.0ms
