27.0 fps, rendering interval: 37.1ms
135.7 fps, rendering interval: 7.4ms
198.7 fps, rendering interval: 5.0ms
116.6 fps, rendering interval: 8.6ms
53.9 fps, rendering interval: 18.5ms
149.8 fps, rendering interval: 6.7ms
257.8 fps, rendering interval: 3.9ms
109.1 fps, rendering interval: 9.2ms
29.1 fps, rendering interval: 34.3ms
152.7 fps, rendering interval: 6.5ms
73.9 fps, rendering interval: 13.5ms
73.9 fps, rendering interval: 13.5ms
55.4 fps, rendering interval: 18.0ms
55.3 fps, rendering interval: 18.1ms
83.2 fps, rendering interval: 12.0ms
40.3 fps, rendering interval: 24.8ms
105.8 fps, rendering interval: 9.5ms
36.9 fps, rendering interval: 27.1ms
87.2 fps, rendering interval: 11.5ms
44.9 fps, rendering interval: 22.3ms
71.3 fps, rendering interval: 14.0ms
36.6 fps, rendering interval: 27.3ms
81.8 fps, rendering interval: 12.2ms
60.5 fps, rendering interval: 16.5ms
47.8 fps, rendering interval: 20.9ms
34.0 fps, rendering interval: 29.4ms
84.8 fps, rendering interval: 11.8ms
59.6 fps, rendering interval: 16.8ms
54.5 fps, rendering interval: 18.3ms
65.5 fps, rendering interval: 15.3ms
48.2 fps, rendering interval: 20.7ms
136.9 fps, rendering interval: 7.3ms
32.5 fps, rendering interval: 30.7ms
85.4 fps, rendering interval: 11.7ms
48.0 fps, rendering interval: 20.8ms
44.3 fps, rendering interval: 22.6ms
70.8 fps, rendering interval: 14.1ms
95.3 fps, rendering interval: 10.5ms
29.1 fps, rendering interval: 34.4ms
99.9 fps, rendering interval: 10.0ms
99.1 fps, rendering interval: 10.1ms
53.7 fps, rendering interval: 18.6ms
76.0 fps, rendering interval: 13.2ms
63.2 fps, rendering interval: 15.8ms
44.8 fps, rendering interval: 22.3ms
43.3 fps, rendering interval: 23.1ms
42.4 fps, rendering interval: 23.6ms
184.5 fps, rendering interval: 5.4ms
228.8 fps, rendering interval: 4.4ms
112.9 fps, rendering interval: 8.9ms
166.5 fps, rendering interval: 6.0ms
164.9 fps, rendering interval: 6.1ms
160.7 fps, rendering interval: 6.2ms
112.6 fps, rendering interval: 8.9ms
213.0 fps, rendering interval: 4.7ms
226.4 fps, rendering interval: 4.4ms
