33.0 fps, rendering interval: 30.3ms
264.8 fps, rendering interval: 3.8ms
175.9 fps, rendering interval: 5.7ms
180.7 fps, rendering interval: 5.5ms
166.9 fps, rendering interval: 6.0ms
176.5 fps, rendering interval: 5.7ms
87.2 fps, rendering interval: 11.5ms
61.9 fps, rendering interval: 16.1ms
278.7 fps, rendering interval: 3.6ms
133.0 fps, rendering interval: 7.5ms
107.8 fps, rendering interval: 9.3ms
89.2 fps, rendering interval: 11.2ms
10.6 fps, rendering interval: 94.0ms
17.6 fps, rendering interval: 56.8ms
17.2 fps, rendering interval: 58.0ms
21.2 fps, rendering interval: 47.1ms
16.3 fps, rendering interval: 61.3ms
20.2 fps, rendering interval: 49.5ms
16.0 fps, rendering interval: 62.6ms
20.2 fps, rendering interval: 49.5ms
13.8 fps, rendering interval: 72.7ms
13.2 fps, rendering interval: 75.7ms
15.7 fps, rendering interval: 63.5ms
18.6 fps, rendering interval: 53.9ms
14.9 fps, rendering interval: 67.3ms
22.3 fps, rendering interval: 44.9ms
13.8 fps, rendering interval: 72.3ms
20.5 fps, rendering interval: 48.8ms
15.8 fps, rendering interval: 63.2ms
22.3 fps, rendering interval: 44.8ms
15.8 fps, rendering interval: 63.4ms
20.8 fps, rendering interval: 48.1ms
15.6 fps, rendering interval: 64.2ms
