24.9 fps, rendering interval: 40.1ms
118.9 fps, rendering interval: 8.4ms
311.6 fps, rendering interval: 3.2ms
414.9 fps, rendering interval: 2.4ms
237.8 fps, rendering interval: 4.2ms
161.4 fps, rendering interval: 6.2ms
44.3 fps, rendering interval: 22.6ms
53.5 fps, rendering interval: 18.7ms
24.0 fps, rendering interval: 41.6ms
12.6 fps, rendering interval: 79.2ms
12.5 fps, rendering interval: 80.2ms
12.7 fps, rendering interval: 78.7ms
11.4 fps, rendering interval: 87.8ms
12.7 fps, rendering interval: 78.5ms
12.6 fps, rendering interval: 79.4ms
12.7 fps, rendering interval: 79.0ms
12.4 fps, rendering interval: 80.5ms
12.8 fps, rendering interval: 78.2ms
12.8 fps, rendering interval: 77.9ms
12.7 fps, rendering interval: 78.5ms
15.1 fps, rendering interval: 66.1ms
12.8 fps, rendering interval: 78.4ms
17.4 fps, rendering interval: 57.4ms
12.9 fps, rendering interval: 77.3ms
15.5 fps, rendering interval: 64.6ms
13.9 fps, rendering interval: 72.0ms
16.7 fps, rendering interval: 60.1ms
12.7 fps, rendering interval: 78.7ms
15.7 fps, rendering interval: 63.5ms
13.7 fps, rendering interval: 72.9ms
14.2 fps, rendering interval: 70.2ms
18.5 fps, rendering interval: 53.9ms
18.1 fps, rendering interval: 55.3ms
19.6 fps, rendering interval: 51.1ms
13.9 fps, rendering interval: 72.1ms
18.4 fps, rendering interval: 54.2ms
15.1 fps, rendering interval: 66.1ms
12.4 fps, rendering interval: 80.7ms
12.2 fps, rendering interval: 82.3ms
12.4 fps, rendering interval: 80.7ms
12.1 fps, rendering interval: 82.6ms
12.5 fps, rendering interval: 79.8ms
12.4 fps, rendering interval: 81.0ms
12.8 fps, rendering interval: 78.1ms
12.9 fps, rendering interval: 77.7ms
16.5 fps, rendering interval: 60.5ms
12.2 fps, rendering interval: 82.1ms
