28.9 fps, rendering interval: 34.6ms
61.9 fps, rendering interval: 16.2ms
178.9 fps, rendering interval: 5.6ms
157.4 fps, rendering interval: 6.4ms
115.2 fps, rendering interval: 8.7ms
108.9 fps, rendering interval: 9.2ms
64.8 fps, rendering interval: 15.4ms
485.6 fps, rendering interval: 2.1ms
88.7 fps, rendering interval: 11.3ms
44.8 fps, rendering interval: 22.3ms
87.1 fps, rendering interval: 11.5ms
131.6 fps, rendering interval: 7.6ms
34.5 fps, rendering interval: 28.9ms
66.9 fps, rendering interval: 14.9ms
82.9 fps, rendering interval: 12.1ms
488.2 fps, rendering interval: 2.0ms
276.8 fps, rendering interval: 3.6ms
147.4 fps, rendering interval: 6.8ms
54.5 fps, rendering interval: 18.4ms
24.7 fps, rendering interval: 40.6ms
20.5 fps, rendering interval: 48.8ms
20.5 fps, rendering interval: 48.7ms
20.8 fps, rendering interval: 48.0ms
26.1 fps, rendering interval: 38.3ms
20.3 fps, rendering interval: 49.2ms
24.2 fps, rendering interval: 41.4ms
21.1 fps, rendering interval: 47.5ms
116.8 fps, rendering interval: 8.6ms
121.6 fps, rendering interval: 8.2ms
30.6 fps, rendering interval: 32.7ms
18.0 fps, rendering interval: 55.6ms
18.8 fps, rendering interval: 53.3ms
18.2 fps, rendering interval: 55.0ms
17.8 fps, rendering interval: 56.1ms
19.9 fps, rendering interval: 50.3ms
18.6 fps, rendering interval: 53.9ms
24.1 fps, rendering interval: 41.4ms
21.0 fps, rendering interval: 47.6ms
21.9 fps, rendering interval: 45.7ms
133.9 fps, rendering interval: 7.5ms
27.0 fps, rendering interval: 37.0ms
30.6 fps, rendering interval: 32.7ms
30.1 fps, rendering interval: 33.2ms
33.1 fps, rendering interval: 30.2ms
25.0 fps, rendering interval: 40.0ms
21.9 fps, rendering interval: 45.7ms
21.7 fps, rendering interval: 46.1ms
21.6 fps, rendering interval: 46.4ms
26.3 fps, rendering interval: 38.1ms
32.3 fps, rendering interval: 30.9ms
30.0 fps, rendering interval: 33.3ms
29.4 fps, rendering interval: 34.0ms
34.3 fps, rendering interval: 29.2ms
28.4 fps, rendering interval: 35.3ms
27.4 fps, rendering interval: 36.5ms
19.6 fps, rendering interval: 51.0ms
72.9 fps, rendering interval: 13.7ms
112.6 fps, rendering interval: 8.9ms
33.7 fps, rendering interval: 29.7ms
