105.8 fps, rendering interval: 9.4ms
212.4 fps, rendering interval: 4.7ms
110.1 fps, rendering interval: 9.1ms
342.6 fps, rendering interval: 2.9ms
137.7 fps, rendering interval: 7.3ms
55.7 fps, rendering interval: 17.9ms
38.8 fps, rendering interval: 25.8ms
185.8 fps, rendering interval: 5.4ms
88.5 fps, rendering interval: 11.3ms
252.0 fps, rendering interval: 4.0ms
101.1 fps, rendering interval: 9.9ms
26.8 fps, rendering interval: 37.3ms
203.6 fps, rendering interval: 4.9ms
128.3 fps, rendering interval: 7.8ms
52.4 fps, rendering interval: 19.1ms
58.7 fps, rendering interval: 17.0ms
41.8 fps, rendering interval: 23.9ms
42.1 fps, rendering interval: 23.7ms
48.1 fps, rendering interval: 20.8ms
23.2 fps, rendering interval: 43.1ms
111.0 fps, rendering interval: 9.0ms
59.8 fps, rendering interval: 16.7ms
70.4 fps, rendering interval: 14.2ms
55.3 fps, rendering interval: 18.1ms
72.2 fps, rendering interval: 13.8ms
61.6 fps, rendering interval: 16.2ms
52.7 fps, rendering interval: 19.0ms
128.9 fps, rendering interval: 7.8ms
24.9 fps, rendering interval: 40.1ms
92.0 fps, rendering interval: 10.9ms
23.8 fps, rendering interval: 42.0ms
122.8 fps, rendering interval: 8.1ms
92.8 fps, rendering interval: 10.8ms
47.0 fps, rendering interval: 21.3ms
46.2 fps, rendering interval: 21.6ms
60.8 fps, rendering interval: 16.5ms
45.0 fps, rendering interval: 22.2ms
50.7 fps, rendering interval: 19.7ms
58.5 fps, rendering interval: 17.1ms
31.6 fps, rendering interval: 31.7ms
98.8 fps, rendering interval: 10.1ms
59.1 fps, rendering interval: 16.9ms
24.7 fps, rendering interval: 40.6ms
113.2 fps, rendering interval: 8.8ms
52.0 fps, rendering interval: 19.2ms
88.0 fps, rendering interval: 11.4ms
71.5 fps, rendering interval: 14.0ms
38.4 fps, rendering interval: 26.0ms
92.1 fps, rendering interval: 10.9ms
27.3 fps, rendering interval: 36.6ms
90.0 fps, rendering interval: 11.1ms
47.9 fps, rendering interval: 20.9ms
50.0 fps, rendering interval: 20.0ms
40.1 fps, rendering interval: 24.9ms
37.3 fps, rendering interval: 26.8ms
16.7 fps, rendering interval: 59.8ms
39.5 fps, rendering interval: 25.3ms
114.5 fps, rendering interval: 8.7ms
45.4 fps, rendering interval: 22.0ms
55.2 fps, rendering interval: 18.1ms
29.6 fps, rendering interval: 33.8ms
96.7 fps, rendering interval: 10.3ms
83.7 fps, rendering interval: 12.0ms
39.8 fps, rendering interval: 25.1ms
34.8 fps, rendering interval: 28.8ms
38.2 fps, rendering interval: 26.2ms
41.8 fps, rendering interval: 23.9ms
71.4 fps, rendering interval: 14.0ms
48.0 fps, rendering interval: 20.8ms
67.0 fps, rendering interval: 14.9ms
59.0 fps, rendering interval: 16.9ms
41.2 fps, rendering interval: 24.2ms
97.0 fps, rendering interval: 10.3ms
