231.7 fps, rendering interval: 4.3ms
350.5 fps, rendering interval: 2.9ms
142.9 fps, rendering interval: 7.0ms
177.0 fps, rendering interval: 5.7ms
162.4 fps, rendering interval: 6.2ms
128.0 fps, rendering interval: 7.8ms
97.2 fps, rendering interval: 10.3ms
97.2 fps, rendering interval: 10.3ms
162.9 fps, rendering interval: 6.1ms
62.5 fps, rendering interval: 16.0ms
139.0 fps, rendering interval: 7.2ms
107.7 fps, rendering interval: 9.3ms
36.2 fps, rendering interval: 27.6ms
36.3 fps, rendering interval: 27.5ms
170.1 fps, rendering interval: 5.9ms
45.6 fps, rendering interval: 21.9ms
55.0 fps, rendering interval: 18.2ms
153.5 fps, rendering interval: 6.5ms
