28.9 fps, rendering interval: 34.7ms
120.9 fps, rendering interval: 8.3ms
382.3 fps, rendering interval: 2.6ms
283.9 fps, rendering interval: 3.5ms
144.9 fps, rendering interval: 6.9ms
50.6 fps, rendering interval: 19.8ms
104.3 fps, rendering interval: 9.6ms
239.6 fps, rendering interval: 4.2ms
82.8 fps, rendering interval: 12.1ms
28.7 fps, rendering interval: 34.8ms
89.7 fps, rendering interval: 11.1ms
70.6 fps, rendering interval: 14.2ms
104.8 fps, rendering interval: 9.5ms
205.6 fps, rendering interval: 4.9ms
74.5 fps, rendering interval: 13.4ms
41.6 fps, rendering interval: 24.1ms
67.7 fps, rendering interval: 14.8ms
93.9 fps, rendering interval: 10.7ms
177.8 fps, rendering interval: 5.6ms
66.4 fps, rendering interval: 15.1ms
132.7 fps, rendering interval: 7.5ms
79.4 fps, rendering interval: 12.6ms
77.9 fps, rendering interval: 12.8ms
81.4 fps, rendering interval: 12.3ms
63.9 fps, rendering interval: 15.7ms
93.3 fps, rendering interval: 10.7ms
33.9 fps, rendering interval: 29.5ms
129.9 fps, rendering interval: 7.7ms
22.0 fps, rendering interval: 45.4ms
124.0 fps, rendering interval: 8.1ms
35.8 fps, rendering interval: 28.0ms
151.1 fps, rendering interval: 6.6ms
56.6 fps, rendering interval: 17.7ms
62.5 fps, rendering interval: 16.0ms
70.3 fps, rendering interval: 14.2ms
83.9 fps, rendering interval: 11.9ms
93.9 fps, rendering interval: 10.6ms
35.4 fps, rendering interval: 28.3ms
93.6 fps, rendering interval: 10.7ms
27.0 fps, rendering interval: 37.1ms
108.3 fps, rendering interval: 9.2ms
31.1 fps, rendering interval: 32.2ms
100.7 fps, rendering interval: 9.9ms
85.0 fps, rendering interval: 11.8ms
41.9 fps, rendering interval: 23.8ms
58.3 fps, rendering interval: 17.1ms
100.0 fps, rendering interval: 10.0ms
37.9 fps, rendering interval: 26.4ms
91.4 fps, rendering interval: 10.9ms
113.7 fps, rendering interval: 8.8ms
21.3 fps, rendering interval: 46.9ms
122.7 fps, rendering interval: 8.2ms
22.2 fps, rendering interval: 45.1ms
106.8 fps, rendering interval: 9.4ms
24.9 fps, rendering interval: 40.1ms
137.9 fps, rendering interval: 7.3ms
96.3 fps, rendering interval: 10.4ms
66.1 fps, rendering interval: 15.1ms
66.9 fps, rendering interval: 15.0ms
37.9 fps, rendering interval: 26.4ms
124.8 fps, rendering interval: 8.0ms
25.0 fps, rendering interval: 40.0ms
15.1 fps, rendering interval: 66.2ms
13.4 fps, rendering interval: 74.5ms
111.2 fps, rendering interval: 9.0ms
106.9 fps, rendering interval: 9.4ms
75.0 fps, rendering interval: 13.3ms
97.1 fps, rendering interval: 10.3ms
26.0 fps, rendering interval: 38.5ms
137.7 fps, rendering interval: 7.3ms
31.9 fps, rendering interval: 31.3ms
104.9 fps, rendering interval: 9.5ms
62.5 fps, rendering interval: 16.0ms
18.3 fps, rendering interval: 54.6ms
87.8 fps, rendering interval: 11.4ms
62.2 fps, rendering interval: 16.1ms
43.6 fps, rendering interval: 22.9ms
30.5 fps, rendering interval: 32.8ms
112.5 fps, rendering interval: 8.9ms
23.8 fps, rendering interval: 42.0ms
64.5 fps, rendering interval: 15.5ms
37.6 fps, rendering interval: 26.6ms
29.8 fps, rendering interval: 33.5ms
30.4 fps, rendering interval: 32.9ms
16.2 fps, rendering interval: 61.8ms
64.2 fps, rendering interval: 15.6ms
46.3 fps, rendering interval: 21.6ms
124.5 fps, rendering interval: 8.0ms
75.5 fps, rendering interval: 13.2ms
