27.1 fps, rendering interval: 36.9ms
187.7 fps, rendering interval: 5.3ms
450.2 fps, rendering interval: 2.2ms
512.7 fps, rendering interval: 2.0ms
312.9 fps, rendering interval: 3.2ms
154.3 fps, rendering interval: 6.5ms
54.1 fps, rendering interval: 18.5ms
56.4 fps, rendering interval: 17.7ms
63.6 fps, rendering interval: 15.7ms
45.0 fps, rendering interval: 22.2ms
77.8 fps, rendering interval: 12.8ms
38.2 fps, rendering interval: 26.2ms
75.0 fps, rendering interval: 13.3ms
54.9 fps, rendering interval: 18.2ms
166.8 fps, rendering interval: 6.0ms
55.1 fps, rendering interval: 18.1ms
26.0 fps, rendering interval: 38.5ms
145.0 fps, rendering interval: 6.9ms
49.5 fps, rendering interval: 20.2ms
78.0 fps, rendering interval: 12.8ms
64.2 fps, rendering interval: 15.6ms
82.1 fps, rendering interval: 12.2ms
96.5 fps, rendering interval: 10.4ms
48.9 fps, rendering interval: 20.4ms
57.3 fps, rendering interval: 17.4ms
24.9 fps, rendering interval: 40.1ms
105.2 fps, rendering interval: 9.5ms
52.1 fps, rendering interval: 19.2ms
91.7 fps, rendering interval: 10.9ms
18.7 fps, rendering interval: 53.4ms
