92.5 fps, rendering interval: 10.8ms
92.9 fps, rendering interval: 10.8ms
205.9 fps, rendering interval: 4.9ms
168.8 fps, rendering interval: 5.9ms
147.2 fps, rendering interval: 6.8ms
145.0 fps, rendering interval: 6.9ms
104.1 fps, rendering interval: 9.6ms
96.7 fps, rendering interval: 10.3ms
323.9 fps, rendering interval: 3.1ms
199.6 fps, rendering interval: 5.0ms
83.4 fps, rendering interval: 12.0ms
42.6 fps, rendering interval: 23.5ms
108.7 fps, rendering interval: 9.2ms
30.6 fps, rendering interval: 32.7ms
134.1 fps, rendering interval: 7.5ms
137.0 fps, rendering interval: 7.3ms
25.4 fps, rendering interval: 39.3ms
263.9 fps, rendering interval: 3.8ms
434.5 fps, rendering interval: 2.3ms
165.5 fps, rendering interval: 6.0ms
155.4 fps, rendering interval: 6.4ms
325.9 fps, rendering interval: 3.1ms
326.3 fps, rendering interval: 3.1ms
311.8 fps, rendering interval: 3.2ms
298.5 fps, rendering interval: 3.4ms
307.5 fps, rendering interval: 3.3ms
331.9 fps, rendering interval: 3.0ms
245.4 fps, rendering interval: 4.1ms
314.8 fps, rendering interval: 3.2ms
308.4 fps, rendering interval: 3.2ms
306.3 fps, rendering interval: 3.3ms
298.4 fps, rendering interval: 3.4ms
296.4 fps, rendering interval: 3.4ms
285.7 fps, rendering interval: 3.5ms
293.5 fps, rendering interval: 3.4ms
296.5 fps, rendering interval: 3.4ms
289.5 fps, rendering interval: 3.5ms
318.0 fps, rendering interval: 3.1ms
304.4 fps, rendering interval: 3.3ms
307.9 fps, rendering interval: 3.2ms
339.5 fps, rendering interval: 2.9ms
325.7 fps, rendering interval: 3.1ms
322.3 fps, rendering interval: 3.1ms
332.4 fps, rendering interval: 3.0ms
309.6 fps, rendering interval: 3.2ms
324.4 fps, rendering interval: 3.1ms
324.5 fps, rendering interval: 3.1ms
324.8 fps, rendering interval: 3.1ms
336.5 fps, rendering interval: 3.0ms
297.4 fps, rendering interval: 3.4ms
205.8 fps, rendering interval: 4.9ms
295.5 fps, rendering interval: 3.4ms
261.7 fps, rendering interval: 3.8ms
317.9 fps, rendering interval: 3.1ms
316.7 fps, rendering interval: 3.2ms
478.8 fps, rendering interval: 2.1ms
499.8 fps, rendering interval: 2.0ms
561.5 fps, rendering interval: 1.8ms
443.6 fps, rendering interval: 2.3ms
