35.7 fps, rendering interval: 28.0ms
14.4 fps, rendering interval: 69.4ms
16.3 fps, rendering interval: 61.4ms
15.2 fps, rendering interval: 65.7ms
15.9 fps, rendering interval: 63.0ms
16.8 fps, rendering interval: 59.5ms
25.1 fps, rendering interval: 39.8ms
29.7 fps, rendering interval: 33.7ms
15.8 fps, rendering interval: 63.1ms
29.7 fps, rendering interval: 33.7ms
134.9 fps, rendering interval: 7.4ms
70.7 fps, rendering interval: 14.1ms
37.8 fps, rendering interval: 26.5ms
144.1 fps, rendering interval: 6.9ms
241.9 fps, rendering interval: 4.1ms
80.5 fps, rendering interval: 12.4ms
26.8 fps, rendering interval: 37.3ms
58.9 fps, rendering interval: 17.0ms
71.0 fps, rendering interval: 14.1ms
46.7 fps, rendering interval: 21.4ms
51.7 fps, rendering interval: 19.4ms
18.6 fps, rendering interval: 53.7ms
188.7 fps, rendering interval: 5.3ms
101.4 fps, rendering interval: 9.9ms
39.6 fps, rendering interval: 25.2ms
199.7 fps, rendering interval: 5.0ms
253.4 fps, rendering interval: 3.9ms
33.6 fps, rendering interval: 29.8ms
12.2 fps, rendering interval: 82.0ms
11.8 fps, rendering interval: 84.8ms
11.6 fps, rendering interval: 86.1ms
12.2 fps, rendering interval: 81.9ms
12.5 fps, rendering interval: 80.1ms
11.8 fps, rendering interval: 84.9ms
11.6 fps, rendering interval: 86.4ms
11.4 fps, rendering interval: 87.6ms
11.6 fps, rendering interval: 86.0ms
11.6 fps, rendering interval: 86.2ms
12.6 fps, rendering interval: 79.6ms
12.1 fps, rendering interval: 82.3ms
13.1 fps, rendering interval: 76.2ms
12.2 fps, rendering interval: 81.7ms
12.5 fps, rendering interval: 80.1ms
12.0 fps, rendering interval: 83.2ms
12.6 fps, rendering interval: 79.3ms
12.5 fps, rendering interval: 80.2ms
12.5 fps, rendering interval: 80.2ms
12.1 fps, rendering interval: 82.8ms
12.3 fps, rendering interval: 81.2ms
12.7 fps, rendering interval: 78.9ms
11.9 fps, rendering interval: 84.3ms
12.8 fps, rendering interval: 78.2ms
13.3 fps, rendering interval: 75.0ms
12.6 fps, rendering interval: 79.3ms
16.8 fps, rendering interval: 59.4ms
12.6 fps, rendering interval: 79.5ms
15.3 fps, rendering interval: 65.4ms
