26.5 fps, rendering interval: 37.7ms
142.8 fps, rendering interval: 7.0ms
371.6 fps, rendering interval: 2.7ms
303.8 fps, rendering interval: 3.3ms
249.1 fps, rendering interval: 4.0ms
88.5 fps, rendering interval: 11.3ms
129.0 fps, rendering interval: 7.7ms
52.3 fps, rendering interval: 19.1ms
75.8 fps, rendering interval: 13.2ms
80.8 fps, rendering interval: 12.4ms
49.3 fps, rendering interval: 20.3ms
80.4 fps, rendering interval: 12.4ms
81.9 fps, rendering interval: 12.2ms
47.7 fps, rendering interval: 21.0ms
85.9 fps, rendering interval: 11.6ms
70.2 fps, rendering interval: 14.3ms
47.0 fps, rendering interval: 21.3ms
106.2 fps, rendering interval: 9.4ms
45.6 fps, rendering interval: 21.9ms
114.4 fps, rendering interval: 8.7ms
51.7 fps, rendering interval: 19.3ms
72.9 fps, rendering interval: 13.7ms
78.1 fps, rendering interval: 12.8ms
56.8 fps, rendering interval: 17.6ms
92.0 fps, rendering interval: 10.9ms
63.7 fps, rendering interval: 15.7ms
71.0 fps, rendering interval: 14.1ms
99.7 fps, rendering interval: 10.0ms
36.0 fps, rendering interval: 27.8ms
