20.7 fps, rendering interval: 48.3ms
97.8 fps, rendering interval: 10.2ms
278.5 fps, rendering interval: 3.6ms
417.8 fps, rendering interval: 2.4ms
197.6 fps, rendering interval: 5.1ms
124.0 fps, rendering interval: 8.1ms
35.6 fps, rendering interval: 28.1ms
69.5 fps, rendering interval: 14.4ms
76.6 fps, rendering interval: 13.1ms
33.2 fps, rendering interval: 30.1ms
42.8 fps, rendering interval: 23.4ms
106.9 fps, rendering interval: 9.4ms
40.3 fps, rendering interval: 24.8ms
14.9 fps, rendering interval: 66.9ms
87.5 fps, rendering interval: 11.4ms
78.8 fps, rendering interval: 12.7ms
39.5 fps, rendering interval: 25.3ms
57.9 fps, rendering interval: 17.3ms
16.8 fps, rendering interval: 59.6ms
81.4 fps, rendering interval: 12.3ms
57.3 fps, rendering interval: 17.5ms
29.0 fps, rendering interval: 34.5ms
85.7 fps, rendering interval: 11.7ms
32.5 fps, rendering interval: 30.8ms
55.4 fps, rendering interval: 18.0ms
88.9 fps, rendering interval: 11.2ms
25.8 fps, rendering interval: 38.7ms
52.0 fps, rendering interval: 19.2ms
95.0 fps, rendering interval: 10.5ms
17.4 fps, rendering interval: 57.4ms
84.5 fps, rendering interval: 11.8ms
91.3 fps, rendering interval: 11.0ms
50.5 fps, rendering interval: 19.8ms
31.3 fps, rendering interval: 32.0ms
50.6 fps, rendering interval: 19.8ms
